Date,High,Low,Close,Open,Volume
19/1/2018,1093.22,1003.71,1039.1,1028.82,4084450000
18/1/2018,1100.31,967.76,1036.28,1016.44,5938320000
17/1/2018,1090.23,780.92,1014.25,1061.34,8545160000
16/1/2018,1292.63,875.55,1053.69,1292.63,8405140000
15/1/2018,1390.59,1290.6,1291.92,1365.21,4781100000
14/1/2018,1400.56,1286.21,1366.77,1397.48,4841630000
13/1/2018,1432.88,1270.47,1396.42,1270.47,5746760000
12/1/2018,1296.04,1120.09,1273.2,1158.29,5222300000
11/1/2018,1337.3,1135.17,1154.93,1268.09,7235900000
10/1/2018,1417.38,1226.6,1255.82,1300.34,9214950000
9/1/2018,1320.98,1145.49,1299.74,1146,7965460000
8/1/2018,1266.93,1016.05,1148.53,1158.26,8450970000
7/1/2018,1153.17,1043.01,1153.17,1043.01,5569880000
6/1/2018,1060.71,994.62,1041.68,995.15,4662220000
5/1/2018,1075.39,956.33,997.72,975.75,6683150000
4/1/2018,1045.08,946.09,980.92,961.71,6502860000
3/1/2018,974.47,868.45,962.72,886,5093160000
2/1/2018,914.83,772.35,884.44,772.35,5783350000
1/1/2018,782.53,742,772.64,755.76,2595760000
31/12/2017,760.35,710.12,756.73,712.21,2554270000
30/12/2017,753.82,685.23,717.26,753.82,3187780000
29/12/2017,770.12,729.61,753.59,740.39,2648970000
28/12/2017,763.32,701.19,737.02,762.21,2389150000
27/12/2017,789.25,738.41,762.84,774.97,2100030000
26/12/2017,786.79,760.94,773.84,763.37,2201160000
25/12/2017,782.52,698.87,765.83,698.87,2491760000
24/12/2017,721.77,614.92,694.15,721.77,2300550000
23/12/2017,763.9,679.73,719.39,681.32,2480340000
22/12/2017,827.68,543.76,674.86,822.64,4977710000
21/12/2017,880.54,792.69,821.06,820.24,3569060000
20/12/2017,845.06,756,819.09,827.52,3969940000
19/12/2017,881.94,785.34,826.82,793.9,4096550000
18/12/2017,803.93,689.23,794.65,721.73,3249230000
17/12/2017,735.83,696.24,719.98,696.24,2147390000
16/12/2017,718.39,680.79,696.21,686.19,2165690000
15/12/2017,697.13,621.06,684.45,696.38,2758710000
14/12/2017,753.12,664.99,695.82,700.59,3821580000
13/12/2017,747.99,597.8,702.77,644.91,4524540000
12/12/2017,657.32,504.49,651.43,522.29,5179830000
11/12/2017,516.97,439.1,515.14,440.36,1771440000
10/12/2017,472.79,429.51,441.72,472.79,1404180000
9/12/2017,504.15,456.25,473.5,457.34,2003850000
8/12/2017,466.06,422.37,456.03,434.99,2336380000
7/12/2017,441.4,414.41,434.41,426.37,2129570000
6/12/2017,462.71,420.21,428.59,462.6,1998260000
5/12/2017,473.56,457.66,463.28,470.29,1216720000
4/12/2017,474.78,453.31,470.2,466.05,1005550000
3/12/2017,482.81,451.85,465.85,463.71,990557000
2/12/2017,476.24,456.65,463.45,466.85,943650000
1/12/2017,472.61,428.31,466.54,445.21,1247880000
30/11/2017,465.5,401.24,447.11,431.22,1903040000
29/11/2017,522.31,425.07,427.52,473.28,2675940000
